iter	Passed	Remaining
0	57	57429
1	57	28805
2	57	19247
3	58	14470
4	58	11600
5	58	9689
6	58	8335
7	59	7321
8	59	6530
9	59	5900
10	59	5381
11	60	4945
12	60	4574
13	60	4257
14	60	3982
15	60	3741
16	61	3530
17	61	3340
18	61	3171
19	61	3019
20	61	2881
21	61	2755
22	62	2641
23	62	2539
24	62	2444
25	62	2355
26	63	2273
27	63	2196
28	63	2124
29	63	2057
30	63	1995
31	64	1937
32	64	1882
33	64	1830
34	64	1782
35	64	1739
36	65	1697
37	65	1656
38	65	1617
39	65	1580
40	66	1544
41	66	1510
42	66	1478
43	66	1450
44	66	1421
45	67	1393
46	67	1367
47	67	1342
48	67	1317
49	68	1293
50	68	1270
51	68	1247
52	68	1226
53	68	1205
54	69	1186
55	69	1167
56	69	1149
57	69	1133
58	70	1116
59	70	1099
60	70	1083
61	70	1068
62	70	1053
63	71	1038
64	71	1024
65	71	1010
66	71	997
67	71	985
68	72	972
69	72	960
70	72	948
71	72	936
72	72	924
73	72	913
74	73	902
75	73	892
76	73	883
77	73	873
78	74	863
79	74	854
80	74	845
81	74	837
82	74	827
83	75	818
84	75	810
85	75	802
86	75	794
87	75	786
88	76	778
89	76	771
90	76	764
91	76	756
92	76	749
93	77	742
94	77	735
95	77	728
96	77	722
97	77	716
98	77	709
99	78	703
100	78	697
101	78	691
102	78	685
103	78	680
104	79	674
105	79	669
106	79	663
107	79	658
108	79	653
109	80	648
110	80	643
111	80	639
112	80	634
113	81	630
114	81	625
115	81	621
116	81	616
117	81	612
118	82	608
119	82	604
120	82	600
121	82	595
122	82	591
123	83	587
124	83	583
125	83	579
126	83	574
127	83	570
128	83	567
129	84	563
130	84	559
131	84	555
132	84	552
133	84	549
134	85	545
135	85	542
136	85	538
137	85	535
138	85	531
139	86	528
140	86	525
141	86	521
142	86	518
143	86	515
144	86	512
145	87	509
146	87	506
147	87	503
148	87	501
149	87	498
150	88	495
151	88	492
152	88	489
153	88	487
154	88	484
155	89	481
156	89	479
157	89	476
158	89	473
159	89	471
160	89	468
161	90	466
162	90	463
163	90	461
164	90	459
165	90	456
166	91	454
167	91	452
168	91	449
169	91	447
170	91	445
171	92	442
172	92	440
173	92	438
174	92	436
175	92	434
176	92	432
177	93	430
178	93	427
179	93	425
180	93	423
181	93	421
182	94	419
183	94	418
184	94	416
185	94	414
186	94	412
187	95	410
188	95	408
189	95	406
190	95	405
191	95	403
192	96	401
193	96	399
194	96	398
195	96	396
196	96	394
197	97	393
198	97	391
199	97	390
200	97	388
201	98	387
202	98	385
203	98	384
204	98	382
205	99	381
206	99	380
207	99	379
208	99	377
209	100	376
210	100	375
211	100	373
212	100	371
213	100	370
214	101	368
215	101	367
216	101	365
217	101	364
218	101	363
219	102	362
220	102	360
221	102	359
222	102	358
223	102	356
224	103	355
225	103	353
226	103	352
227	103	351
228	103	349
229	104	348
230	104	347
231	104	345
232	104	344
233	104	343
234	105	341
235	105	340
236	105	339
237	105	338
238	105	336
239	105	335
240	106	334
241	106	333
242	106	331
243	106	330
244	106	329
245	107	328
246	107	327
247	107	326
248	107	324
249	107	323
250	108	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	317
256	109	316
257	109	315
258	109	314
259	109	312
260	110	311
261	110	310
262	110	309
263	110	308
264	110	307
265	111	306
266	111	305
267	111	304
268	111	303
269	112	304
270	112	303
271	113	302
272	113	301
273	113	300
274	113	299
275	114	299
276	114	298
277	114	297
278	114	296
279	115	295
280	115	295
281	115	294
282	115	293
283	115	292
284	116	291
285	116	290
286	116	289
287	116	288
288	116	287
289	117	286
290	117	285
291	117	284
292	117	283
293	117	282
294	118	282
295	118	281
296	118	280
297	118	279
298	118	278
299	119	277
300	119	276
301	119	275
302	119	275
303	119	274
304	120	273
305	120	272
306	120	271
307	120	271
308	120	270
309	121	269
310	121	268
311	121	267
312	121	266
313	121	265
314	121	265
315	122	264
316	122	263
317	122	262
318	122	261
319	122	261
320	123	260
321	123	259
322	123	258
323	123	258
324	124	257
325	124	257
326	124	256
327	124	255
328	124	254
329	125	254
330	125	253
331	125	252
332	125	251
333	125	251
334	126	250
335	126	249
336	126	248
337	126	248
338	127	247
339	127	247
340	127	246
341	128	246
342	128	245
343	128	245
344	128	244
345	128	243
346	129	243
347	129	242
